,,,,,,,
,,,,Tons to Nigeria,22586,Tons from Ghana,2081
,,,,Tons to Benin,7357,Tons from Togo,1365
,,,,Tons to Togo,1365,Tons from Benin,10
,,,,Tons to Ghana,409,Tons from Nigeria,2
,,,,Tons to Cameroon,26,,
,,,,Tons to Equatorial Guinea,17,,
,,,,Tons to Gabon,13,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Guinea,25340,173,25167,,,,
,,,,Tons to Guinea,23596,Tons from Guinea,23596
,,,,Tons to Sierra Leone,1088,Tons from Sierra Leone,9110
,,,,Tons to Liberia,274,Tons from Guinea-Bissau,4794
,,,,Tons to Côte d'Ivoire,98,Tons from Senegal,4342
,,,,Tons to Guinea-Bissau,73,Tons from Gambia,2816
,,,,Tons to Ghana,10,Tons from Mauritania,423
,,,,Tons to Mexico,5,Tons from Cape Verde,71
,,,,Tons to Guatemala,4,Tons from Angola,53
,,,,Tons to Brazil,4,Tons from Morocco,42
,,,,Tons to United States,4,Tons from Western Sahara,35
,,,,Tons to Venezuela,2,Tons from Namibia,5
,,,,Tons to Nigeria,2,Tons from Brazil,4
,,,,Tons to Panama,2,Tons from United States,3
,,,,Tons to Dominican Republic,1,Tons from Liberia,2
,,,,Tons to Cuba,1,Tons from South Africa,1
,,,,Tons to Senegal,1,Tons from Spain,0
,,,,Tons to Bahamas,1,,
,,,,Tons to Honduras,0,,
,,,,Tons to Belize,0,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Cameroon,67901,193,67709,,,,
,,,,Tons to Cameroon,67576,Tons from Nigeria,276425
,,,,Tons to Nigeria,89,Tons from Cameroon,67576
,,,,Tons to Gabon,24,Tons from Equatorial Guinea,4948
,,,,Tons to Equatorial Guinea,18,Tons from Angola,3112
,,,,Tons to Republic of Congo,2,Tons from Gabon,1018
,,,,Tons to Central African Republic,0,Tons from Republic of Congo,741
,,,,,,Tons from São Tomé and Príncipe,673
,,,,,,Tons from Ghana,411
,,,,,,Tons from Benin,221
,,,,,,Tons from Democratic Republic of the Congo,27
,,,,,,Tons from Togo,26
,,,,,,Tons from Namibia,8
,,,,,,Tons from South Africa,0
,,,,,,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Equatorial guinea,5396,68,5328,,,,
,,,,Tons to Cameroon,4948,Tons from Nigeria,907
,,,,Tons to Equatorial Guinea,348,Tons from Gabon,598
,,,,Tons to Gabon,30,Tons from Equatorial Guinea,348
,,,,Tons to Nigeria,3,Tons from Angola,163
,,,,Tons to Côte d'Ivoire,0,Tons from São Tomé and Príncipe,111
,,,,,,Tons from Republic of Congo,25
,,,,,,Tons from Benin,19
,,,,,,Tons from Cameroon,18
,,,,,,Tons from Togo,17
,,,,,,Tons from Ghana,16
,,,,,,Tons from Namibia,2
,,,,,,Tons from Democratic Republic of the Congo,2
,,,,,,Tons from Liberia,0
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Gabon,2208,10,2199,,,,
,,,,Tons to Cameroon,1018,Tons from Republic of Congo,3390
,,,,Tons to Equatorial Guinea,598,Tons from Angola,2962
,,,,Tons to Gabon,580,Tons from Gabon,580
,,,,Tons to Nigeria,1,Tons from Nigeria,437
,,,,Tons to Sierra Leone,1,Tons from São Tomé and Príncipe,400
,,,,Tons to United Kingdom,1,Tons from Ghana,89
,,,,,,Tons from Democratic Republic of the Congo,38
,,,,,,Tons from Benin,32
,,,,,,Tons from Equatorial Guinea,30
,,,,,,Tons from Namibia,26
,,,,,,Tons from Cameroon,24
,,,,,,Tons from Togo,13
,,,,,,Tons from Comoros,6
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
São tomé and principe,1304,49,1255,,,,
,,,,Tons to Cameroon,673,Tons from São Tomé and Príncipe,24
,,,,Tons to Gabon,400,Tons from Angola,12
,,,,Tons to Equatorial Guinea,111,,
,,,,Tons to Nigeria,27,,
,,,,Tons to São Tomé and Príncipe,24,,
,,,,Tons to Côte d'Ivoire,8,,
,,,,Tons to Ghana,6,,
,,,,Tons to Brazil,3,,
,,,,Tons to Republic of Congo,2,,
,,,,Tons to Angola,2,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Democratic republic of the congo,157,8,149,,,,
,,,,Tons to Gabon,38,Tons from Angola,85
,,,,Tons to Angola,35,Tons from Republic of Congo,4
,,,,Tons to Republic of Congo,35,,
,,,,Tons to Cameroon,27,,
,,,,Tons to Brazil,4,,
,,,,Tons to Sierra Leone,3,,
,,,,Tons to Nigeria,2,,
,,,,Tons to Equatorial Guinea,2,,
,,,,Tons to Côte d'Ivoire,1,,
,,,,Tons to Liberia,1,,
,,,,Tons to Belize,1,,
,,,,Tons to Venezuela,0,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Republic of the congo,9511,35,9476,,,,
,,,,Tons to Republic of Congo,4960,Tons from Republic of Congo,4960
,,,,Tons to Gabon,3390,Tons from Angola,3005
,,,,Tons to Cameroon,741,Tons from Democratic Republic of the Congo,35
,,,,Tons to Angola,233,Tons from Namibia,2
,,,,Tons to Nigeria,68,Tons from São Tomé and Príncipe,2
,,,,Tons to Liberia,26,Tons from Cameroon,2
,,,,Tons to Equatorial Guinea,25,,
,,,,Tons to Côte d'Ivoire,13,,
,,,,Tons to Venezuela,4,,
,,,,Tons to Democratic Republic of the Congo,4,,
,,,,Tons to Belize,3,,
,,,,Tons to Dominican Republic,3,,
,,,,Tons to Ghana,3,,
,,,,Tons to Sierra Leone,1,,
,,,,Tons to Panama,1,,
,,,,Tons to Guyana,0,,
,,,,,,,
Country Name,Tons Exported,Ends in the Ocean,Ends in the beach,,,,
Angola,53537,660,52877,,,,
,,,,Tons to Angola,41219,Tons from Angola,41219
,,,,Tons to Cameroon,3112,Tons from Republic of Congo,233
,,,,Tons to Republic of Congo,3005,Tons from Namibia,47
,,,,Tons to Gabon,2962,Tons from Democratic Republic of the Congo,35
,,,,Tons to Côte d'Ivoire,551,Tons from São Tomé and Príncipe,2
,,,,Tons to Nigeria,489,Tons from South Africa,2
,,,,Tons to Liberia,429,,
,,,,Tons to Brazil,339,,
,,,,Tons to Sierra Leone,171,,
,,,,Tons to Equatorial Guinea,163,,
,,,,Tons to Democratic Republic of the Congo,85,,
,,,,Tons to Ghana,66,,
,,,,Tons to Guinea,53,,
,,,,Tons to Mexico,48,,
,,,,Tons to United States,24,,
,,,,Tons to Belize,20,,
,,,,Tons to Venezuela,19,,
,,,,Tons to Guyana,16,,
,,,,Tons to São Tomé and Príncipe,12,,
,,,,Tons to Dominican Republic,12,,
,,,,Tons to Panama,12,,
,,,,Tons to French Guiana,10,,
,,,,Tons to Ireland,8,,
,,,,Tons to Benin,8,,
,,,,Tons to Trinidad and Tobago,7,,
